Id,Nome,Libreria delle forme,ID pagina,Contenuto da,Gruppo,Sorgente di linea,Destinazione linea,Freccia sorgente,Freccia di destinazione,Stato,Area di testo 1,Area di testo 2,Area di testo 3,Commenti
230,Caso d'uso,UML,216,218,,,,,,,Inform students about new internship opportunities,,,
231,Caso d'uso,UML,216,219,,,,,,,Register an account to S&C,,,
232,Caso d'uso,UML,216,219,,,,,,,View and update their profile,,,
233,Caso d'uso,UML,216,219,,,,,,,Search for internships,,,
234,Caso d'uso,UML,216,219,,,,,,,Apply for internships,,,
235,Caso d'uso,UML,216,219,,,,,,,Monitor the status of their applications,,,
236,Caso d'uso,UML,216,219,,,,,,,Accept or reject internship offers,,,
237,Caso d'uso,UML,216,219,,,,,,,Complete questionnaires/tasks from companies,,,
238,Caso d'uso,UML,216,219,,,,,,,Provide feedback on completed internships,,,
239,Caso d'uso,UML,216,219,,,,,,,File complaints about internships,,,
240,Attore,UML,216,,,,,,,,Student,,,
241,Caso d'uso,UML,216,219,,,,,,,Create and publish internships,,,
242,Caso d'uso,UML,216,219,,,,,,,View and manage published internships,,,
243,Caso d'uso,UML,216,219,,,,,,,View recommended students for internships,,,
244,Caso d'uso,UML,216,219,,,,,,,Contact students for internships,,,
245,Caso d'uso,UML,216,219,,,,,,,Accept student applications,,,
246,Caso d'uso,UML,216,219,,,,,,,Submit questionnaires for students,,,
247,Caso d'uso,UML,216,219,,,,,,,Finalize the selection process,,,
248,Caso d'uso,UML,216,219,,,,,,,Provide feedback on interns,,,
249,Caso d'uso,UML,216,219,,,,,,,File complaints about students,,,
250,Attore,UML,216,,,,,,,,Company,,,
251,Linea,,216,,,220,221,None,Equilateral Arrow,,start session,,,
252,Linea,,216,,,220,222,None,Equilateral Arrow,,end session,,,
253,Linea,,216,,,223,224,None,Equilateral Arrow,,,,,
254,Linea,,216,,,223,225,None,Equilateral Arrow,,,,,
255,Linea,,216,,,223,226,None,Equilateral Arrow,,,,,
256,Linea,,216,,,228,229,None,Equilateral Arrow,,periodically,,,
257,Linea,,216,,,228,230,None,Equilateral Arrow,,periodically,,,
258,Linea,,216,,,240,231,None,Equilateral Arrow,,,,,
259,Linea,,216,,,240,232,None,Equilateral Arrow,,,,,
260,Linea,,216,,,240,233,None,Equilateral Arrow,,,,,
261,Linea,,216,,,240,234,None,Equilateral Arrow,,,,,
262,Linea,,216,,,240,235,None,Equilateral Arrow,,,,,
263,Linea,,216,,,240,236,None,Equilateral Arrow,,,,,
264,Linea,,216,,,240,238,None,Equilateral Arrow,,,,,
265,Linea,,216,,,240,239,None,Equilateral Arrow,,,,,
266,Linea,,216,,,250,241,None,Equilateral Arrow,,,,,
267,Linea,,216,,,250,242,None,Equilateral Arrow,,,,,
268,Linea,,216,,,250,243,None,Equilateral Arrow,,,,,
269,Linea,,216,,,250,244,None,Equilateral Arrow,,,,,
270,Linea,,216,,,250,245,None,Equilateral Arrow,,,,,
271,Linea,,216,,,250,246,None,Equilateral Arrow,,,,,
272,Linea,,216,,,250,247,None,Equilateral Arrow,,,,,
273,Linea,,216,,,250,248,None,Equilateral Arrow,,,,,
274,Linea,,216,,,250,249,None,Equilateral Arrow,,,,,
275,Linea,,216,,,247,245,None,Equilateral Arrow,,follows,,,
276,Linea,,216,,,242,241,None,Equilateral Arrow,,depends,,,
277,Linea,,216,,,234,233,None,Equilateral Arrow,,after,,,
278,Linea,,216,,,225,226,None,Equilateral Arrow,,when needed,,,
279,Linea,,216,,,249,225,None,Equilateral Arrow,,forwarded to,,,
280,Linea,,216,,,239,225,None,Equilateral Arrow,,forwarded to,,,
281,Linea,,216,,,228,227,None,Equilateral Arrow,,periodically,,,
282,Pagina,,,,,,,,,,DD Components,,,
283,PC,Icone di rete Cisco,282,,,,,,,,Webapp,,,
284,Host standard,Icone di rete Cisco,282,,,,,,,,S&C server,,,
285,Server WWW,Icone di rete Cisco,282,,,,,,,,WebServer,,,
286,Server di archiviazione,Icone di rete Cisco,282,,,,,,,,DBMS server,,,
287,Array di nastri,Icone di rete Cisco,282,,,,,,,,Mail Server,,,
288,Nube,Forme geometriche,282,,,,,,,,External Tools Api,,,
289,Linea,,282,,,283,285,None,None,,,,,
290,Linea,,282,,,285,284,None,None,,,,,
291,Linea,,282,,,284,287,None,None,,,,,
292,Linea,,282,,,284,286,None,None,,,,,
293,Linea,,282,,,284,,None,None,,,,,
294,Pagina,,,,,,,,,,Sequence,,,
295,Alternativa,UML,294,,,,,,,,Alternative,[if email is already linked to an account],[Else],
296,Alternativa,UML,294,,,,,,,,Alternative,[if credentiala are notcorrect],[Else],
297,Oggetto,UML,294,,401,,,,,,Model,,,
298,Attivazione,UML,294,295,401,,,,,,,,,
299,Attivazione,UML,294,295,401,,,,,,,,,
300,Oggetto,UML,294,,402,,,,,,DBMS,,,
301,Attivazione,UML,294,295,402,,,,,,,,,
302,Oggetto,UML,294,,403,,,,,,EmailServer,,,
303,Attivazione,UML,294,295,403,,,,,,,,,
304,Oggetto,UML,294,,404,,,,,,WebServer,,,
305,Attivazione,UML,294,,404,,,,,,,,,
306,Attivazione,UML,294,,404,,,,,,,,,
307,Attivazione,UML,294,295,404,,,,,,,,,
308,Oggetto,UML,294,,405,,,,,,RegistrationManager,,,
309,Attivazione,UML,294,,405,,,,,,,,,
310,Attivazione,UML,294,295,405,,,,,,,,,
311,Attivazione,UML,294,,406,,,,,,,,,
312,Oggetto,UML,294,,406,,,,,,DashboardManager,,,
313,Attivazione,UML,294,295,406,,,,,,,,,
314,Oggetto,UML,294,,407,,,,,,Client,,,
315,Attivazione,UML,294,295,407,,,,,,,,,
316,Attivazione,UML,294,295,,,,,,,,,,
317,Testo,Standard,294,,,,,,,,SIGNUP,,,
318,Testo,Standard,294,,,,,,,,LOG IN,,,
319,Attivazione,UML,294,296|320,,,,,,,,,,
320,Alternativa,UML,294,296,,,,,,,Alternative,[If credentials belong to a Company],[if Credentials belong to a Student],
321,Oggetto,UML,294,,,,,,,,Model,,,
322,Oggetto,UML,294,,,,,,,,DBMS,,,
323,Attivazione,UML,294,296,,,,,,,,,,
324,Oggetto,UML,294,,,,,,,,WebServer,,,
325,Attivazione,UML,294,296,,,,,,,,,,
326,Oggetto,UML,294,,,,,,,,LoginManager,,,
327,Attivazione,UML,294,,,,,,,,,,,
328,Attivazione,UML,294,296,,,,,,,,,,
329,Oggetto,UML,294,,,,,,,,DashboardManager,,,
330,Attivazione,UML,294,296,,,,,,,,,,
